구,연도,강남구,강동구,강북구,강서구,관악구,광진구,구로구,금천구,노원구,도봉구,동대문구,동작구,마포구,서대문구,서초구,성동구,성북구,송파구,양천구,영등포구,용산구,은평구,종로구,중구,중랑구,1인가구수,단독주택_계,단독주택_남자,단독주택_여자,아파트_계,아파트_남자,아파트_여자,연립주택_계,연립주택_남자,연립주택_여자,다세대주택_계,다세대주택_남자,다세대주택_여자,비주거용 건물내 주택_계,비주거용 건물내 주택_남자,비주거용 건물내 주택_여자,일반수급자 65 ~ 69세,일반수급자 70 ~ 74세,일반수급자 75 ~ 79세,일반수급자 80세 이상,값,기초생활수급자비율,저소득노인_65~79비율,저소득노인_80이상비율,노령화지수,총인구,총인구_남자,총인구_여자,전년 대비 증감,증감률,1인가구_비율,65세 이상,0~14세,소비자물가
강동구,2017,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41050.0,9735.0,8828.0,8415.0,3300.0,5115.0,369.0,143.0,226.0,7266.0,3244.0,4022.0,1304.0,751.0,553.0,5133.0,670.0,593.0,648.0,646.0,19.0,29.12,5.59,15.33,14.46,423978.0,209931.0,214047.0,1581.0,4.0,9.15,7506.0,51894.0,97.645
강동구,2018,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42126.0,9655.0,8663.0,8481.0,3235.0,5246.0,391.0,152.0,239.0,8196.0,3608.0,4588.0,1310.0,755.0,555.0,5430.0,802.0,709.0,752.0,882.0,27.0,34.82,7.1,12.66,16.04,414231.0,204752.0,209479.0,1076.0,2.6,9.43,7917.0,49358.0,99.086
강동구,2019,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45188.0,9839.0,8822.0,9843.0,3860.0,5983.0,352.0,131.0,221.0,9253.0,4100.0,5153.0,1407.0,767.0,640.0,5672.0,986.0,886.0,873.0,1138.0,24.0,22.89,6.86,25.22,17.45,415287.0,204807.0,210480.0,3062.0,7.3,10.91,8694.0,49823.0,99.466
강동구,2020,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50316.0,10120.0,9063.0,11869.0,4576.0,7293.0,381.0,146.0,235.0,11003.0,4869.0,6134.0,1391.0,731.0,660.0,6489.0,1353.0,1149.0,1000.0,1502.0,26.0,46.63,5.02,16.56,18.26,444434.0,218299.0,226135.0,5128.0,11.3,12.12,9876.0,54071.0,100.0
강동구,2021,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56905.0,10525.0,9119.0,15140.0,5652.0,9488.0,456.0,181.0,275.0,12131.0,5341.0,6790.0,1622.0,936.0,686.0,7912.0,1786.0,1327.0,1147.0,1785.0,28.0,26.76,4.58,14.59,21.14,451099.0,220916.0,230183.0,6589.0,13.1,12.8,11459.0,54212.0,102.5
강동구,2022,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59752.0,10678.0,9177.0,16244.0,5885.0,10359.0,472.0,168.0,304.0,13200.0,5785.0,7415.0,1689.0,984.0,705.0,8292.0,2014.0,1468.0,1172.0,2053.0,30.0,11.91,4.03,12.3,24.01,448655.0,219114.0,229541.0,2847.0,5.0,13.25,12614.0,52544.0,107.72
강동구,2023,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62943.0,10697.0,9233.0,17370.0,6330.0,11040.0,529.0,207.0,322.0,14326.0,6268.0,8058.0,1888.0,1151.0,737.0,8900.0,2249.0,1639.0,1303.0,2198.0,25.0,11.33,3.8,9.1,27.52,446561.0,217965.0,228596.0,3191.0,5.3,14.85,13966.0,50751.0,111.59
강북구,2014,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31473.3,8842.4,10123.7,3839.4,1323.6,2515.8,558.0,207.1,350.9,5295.7,2182.0,3113.7,881.4,425.4,456.0,1932.7,179.1,512.2,683.9,-99.0,22.9,40.71,17.65,37.13,6.7,329239.9,160947.1,168292.9,2286.8,6.9,9.03,6697.2,37127.4,89.257
강북구,2015,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33862.3,9181.8,10307.7,4455.9,1559.6,2896.3,642.6,239.1,403.5,6231.3,2576.7,3654.6,894.1,440.7,453.4,2148.9,453.0,713.5,853.3,278.2,24.1,37.93,16.07,33.89,13.53,324147.5,158180.4,165967.1,2286.4,6.7,10.09,7555.9,35259.2,91.477
강북구,2016,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36251.3,9521.3,10491.7,5072.4,1795.7,3276.7,727.3,271.1,456.1,7166.9,2971.4,4195.4,906.7,456.0,450.7,2365.0,726.9,914.7,1022.6,655.4,25.3,35.15,14.48,30.64,20.36,319055.0,155413.7,163641.3,2286.0,6.4,11.15,8414.6,33391.0,93.696
