구,연도,강남구,강동구,강북구,강서구,관악구,광진구,구로구,금천구,노원구,도봉구,동대문구,동작구,마포구,서대문구,서초구,성동구,성북구,송파구,양천구,영등포구,용산구,은평구,종로구,중구,중랑구,단독주택_계,아파트_계,연립주택_계,다세대주택_계,비주거용 건물내 주택_계,값,노령화지수,총인구,총인구_남자,총인구_여자,전년 대비 증감,증감률,1인가구_비율,20세 미만,65세 이상,0~14세,소비자물가,저소득노인_65~79비율,저소득노인_80이상비율,기초생활수급자총인원,기초생활수급자비율
강서구,2019,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8655,9364,382,7148,549,37,20.34,574097,277365,296732,6360,8.7,14.18,325,13343,65584,99.466,7.89,25.34,5956,44.64
강서구,2020,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8767,9983,415,8389,507,40,24.04,564854,271779,293075,6801,8.6,15.26,336,14607,60762,100.0,5.96,16.65,7418,50.78
강서구,2021,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8963,11059,444,9319,540,44,28.09,559837,268530,291307,8264,9.6,16.45,252,16264,57891,102.5,3.74,11.45,8818,54.22
강서구,2022,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9227,11608,458,10266,576,48,32.19,555999,266085,289914,6259,6.6,17.41,255,17624,54744,107.72,3.61,9.25,9757,55.36
강서구,2023,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9288,12109,488,10786,665,39,37.51,549557,262646,286911,3814,3.8,17.97,225,19383,51673,111.59,3.32,8.31,10606,54.72
관악구,2017,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31624,4636,470,5251,5256,29,23.01,511222,256857,254365,2893,2.8,21.65,1102,10150,44110,97.645,3.48,7.18,2913,28.7
관악구,2018,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32561,4945,472,5598,5728,39,26.0,510303,255687,254616,5868,5.5,22.69,1048,10687,41109,99.086,4.28,7.71,3061,28.64
관악구,2019,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35141,4928,471,5844,6114,35,30.11,507828,254082,253746,7130,6.3,24.18,1023,11553,38374,99.466,4.89,12.04,4382,37.93
관악구,2020,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37145,5327,530,6553,5725,38,35.83,502641,250850,251791,9370,7.8,25.71,1121,12576,35103,100.0,6.88,13.0,5597,44.51
관악구,2021,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39245,5625,594,6995,6501,41,42.87,495777,247814,247963,7022,5.4,26.83,734,13801,32194,102.5,2.96,10.46,6325,45.83
관악구,2022,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41529,6135,633,7461,6892,45,49.64,496743,248148,248595,9178,6.7,28.45,987,14874,29963,107.72,4.58,11.55,6799,45.71
관악구,2023,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43010,6313,669,7883,7104,37,57.88,493677,246553,247124,5312,3.7,29.54,1100,16018,27673,111.59,2.26,5.66,7417,46.3
광진구,2017,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16999,1415,219,3850,1250,15,16.55,363934,177156,186778,1697,3.2,15.83,802,6202,37469,97.645,7.69,15.58,1506,24.28
광진구,2018,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17100,1359,218,4129,1222,21,18.15,362304,175762,186542,1471,2.7,16.23,736,6534,36007,99.086,8.11,16.36,1922,29.42
광진구,2019,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17395,1565,200,4551,1282,18,20.38,359766,174027,185739,2377,4.2,16.59,576,6926,33983,99.466,7.56,14.25,2287,33.02
광진구,2020,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17899,1606,250,5072,1280,20,23.58,353967,169925,184042,3587,6.1,17.32,562,7502,31809,100.0,3.95,12.89,2697,35.95
광진구,2021,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18429,1700,266,5679,1475,22,27.65,347099,166469,180630,3839,6.2,18.26,465,8187,29611,102.5,2.84,8.94,3164,38.65
광진구,2022,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18909,1992,307,6111,1431,24,31.66,346519,165843,180676,3251,4.9,19.07,475,8851,27958,107.72,6.2,12.07,3489,39.42
광진구,2023,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19440,2063,303,6460,1593,20,35.15,348160,166527,181633,2568,3.7,20.67,630,9302,26461,111.59,8.42,19.64,3875,41.66
구로구,2017,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7840,4032,462,2314,523,15,15.72,436869,218428,218441,929,2.2,10.14,203,7741,49240,97.645,7.1,14.62,1870,24.16
구로구,2018,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7777,4419,467,2506,494,20,17.81,433765,217086,216679,1167,2.7,10.11,236,8238,46263,99.086,20.63,45.52,1698,20.61
구로구,2019,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7940,5067,543,2679,541,18,19.88,435560,217373,218187,3589,8.1,11.01,232,8981,45177,99.466,4.58,12.01,2718,30.26
구로구,2020,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8183,5606,680,3014,435,20,22.98,435442,216855,218587,3231,6.8,11.7,232,9853,42885,100.0,6.08,21.2,3190,32.38
구로구,2021,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8480,6017,716,3605,537,21,26.8,426220,212275,213945,4009,7.9,12.63,184,10842,40460,102.5,3.54,10.22,3770,34.77
구로구,2022,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8544,6682,798,3949,531,23,30.69,424038,210737,213301,3997,7.3,13.84,211,11845,38592,107.72,3.03,8.74,4345,36.68
구로구,2023,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8585,6901,869,4144,619,19,35.38,423397,210034,213363,2341,4.0,14.48,207,12889,36428,111.59,2.63,6.63,4799,37.23
금천구,2017,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8356,2260,268,2030,688,19,24.4,249930,127252,122678,1200,3.8,13.18,102,5632,23079,97.645,8.59,14.5,1950,34.62
금천구,2018,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8231,3041,262,2458,592,26,27.32,249344,127278,122066,1636,5.0,13.86,104,5968,21842,99.086,14.77,29.54,2170,36.36
금천구,2019,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8631,2727,302,2891,621,23,31.08,249747,127242,122505,3214,9.3,15.15,138,6402,20600,99.466,9.58,23.23,2609,40.75
금천구,2020,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8608,2974,375,3392,562,25,36.39,249419,126490,122929,4556,12.1,17.11,139,6998,19233,100.0,8.38,19.44,3120,44.58
금천구,2021,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8870,3433,419,3983,634,27,42.27,247398,125468,121930,4493,10.6,18.94,116,7688,18186,102.5,5.0,17.77,3535,45.98
금천구,2022,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9240,3719,421,4295,596,30,49.26,247185,125201,121984,3701,7.9,20.22,112,8406,17065,107.72,8.8,18.31,3929,46.74
